DATE_FORMAT,DATE,INT ARRIVALS 04,INT ARRIVALS 22,INT ARRIVALS TTL,INT DEPARTURES 04,INT DEPARTURES 22,INT DEPARTURES TTL,LOCAL ARRIVALS 04,LOCAL ARRIVALS 22,LOCAL ARRIVALS TTL,LOCAL DEPARTURES 04,LOCAL DEPARTURES 22,LOCAL DEPARTURES TTL,TRANSITS FXD,TRANSITS HEL,TRANSITS TTL,HELI LND,HELI TO,HELI TTL,T/G,Grant Total,YEAR,MONTH
2018-02-05,5,5.0,2.0,7,3.0,5.0,8,0.0,0.0,0,0.0,0.0,0,1.0,1.0,2,6.0,6.0,12,0.0,29,2018,FEB
2018-02-06,6,1.0,7.0,8,0.0,5.0,5,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,12.0,12.0,24,1.0,39,2018,FEB
2018-02-07,7,2.0,16.0,18,3.0,14.0,17,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,5.0,5.0,10,0.0,46,2018,FEB
2018-02-08,8,3.0,5.0,8,2.0,7.0,9,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,5.0,5.0,10,0.0,28,2018,FEB
2018-02-09,9,0.0,9.0,9,0.0,10.0,10,0.0,0.0,0,0.0,0.0,0,2.0,0.0,2,0.0,0.0,0,1.0,22,2018,FEB
2018-02-10,10,6.0,10.0,16,4.0,12.0,16,0.0,1.0,1,0.0,1.0,1,0.0,0.0,0,0.0,0.0,0,24.0,58,2018,FEB
2018-02-11,11,0.0,15.0,15,0.0,14.0,14,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,29,2018,FEB
2018-02-12,12,0.0,12.0,12,0.0,11.0,11,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,5.0,5.0,10,0.0,34,2018,FEB
2018-02-13,13,0.0,10.0,10,0.0,11.0,11,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,5.0,5.0,10,0.0,32,2018,FEB
2018-02-14,14,2.0,13.0,15,0.0,17.0,17,0.0,2.0,2,0.0,2.0,2,0.0,0.0,0,5.0,5.0,10,0.0,46,2018,FEB
2018-02-15,15,4.0,7.0,11,0.0,10.0,10,1.0,0.0,1,0.0,0.0,0,1.0,0.0,1,15.0,15.0,30,0.0,53,2018,FEB
2018-02-16,16,8.0,1.0,9,7.0,2.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,18,2018,FEB
2018-02-17,17,1.0,12.0,13,0.0,13.0,13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,26,2018,FEB
