DAY,MONTH,YEAR,FLIGHT_CATEGORY,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,TOTAL_FLIGHTS
1,JAN,2014,INTERNATIONAL FLIGHTS,37,36,73
2,JAN,2014,INTERNATIONAL FLIGHTS,27,28,55
3,JAN,2014,INTERNATIONAL FLIGHTS,36,34,70
4,JAN,2014,INTERNATIONAL FLIGHTS,45,47,92
5,JAN,2014,INTERNATIONAL FLIGHTS,37,38,75
6,JAN,2014,INTERNATIONAL FLIGHTS,38,39,77
7,JAN,2014,INTERNATIONAL FLIGHTS,32,30,62
8,JAN,2014,INTERNATIONAL FLIGHTS,39,44,83
9,JAN,2014,INTERNATIONAL FLIGHTS,25,27,52
10,JAN,2014,INTERNATIONAL FLIGHTS,35,33,68
11,JAN,2014,INTERNATIONAL FLIGHTS,42,46,88
12,JAN,2014,INTERNATIONAL FLIGHTS,32,35,67
13,JAN,2014,INTERNATIONAL FLIGHTS,31,32,63
14,JAN,2014,INTERNATIONAL FLIGHTS,26,29,55
15,JAN,2014,INTERNATIONAL FLIGHTS,44,43,87
16,JAN,2014,INTERNATIONAL FLIGHTS,29,28,57
17,JAN,2014,INTERNATIONAL FLIGHTS,33,35,68
18,JAN,2014,INTERNATIONAL FLIGHTS,39,39,78
19,JAN,2014,INTERNATIONAL FLIGHTS,34,36,70
20,JAN,2014,INTERNATIONAL FLIGHTS,35,61,96
21,JAN,2014,INTERNATIONAL FLIGHTS,33,23,56
22,JAN,2014,INTERNATIONAL FLIGHTS,41,44,85
23,JAN,2014,INTERNATIONAL FLIGHTS,24,27,51
24,JAN,2014,INTERNATIONAL FLIGHTS,30,31,61
25,JAN,2014,INTERNATIONAL FLIGHTS,39,39,78
26,JAN,2014,INTERNATIONAL FLIGHTS,36,35,71
27,JAN,2014,INTERNATIONAL FLIGHTS,35,33,68
28,JAN,2014,INTERNATIONAL FLIGHTS,26,28,54
29,JAN,2014,INTERNATIONAL FLIGHTS,40,37,77
30,JAN,2014,INTERNATIONAL FLIGHTS,32,29,61
31,JAN,2014,INTERNATIONAL FLIGHTS,35,36,71
1,JAN,2014,LOCAL FLIGHTS,0,0,0
2,JAN,2014,LOCAL FLIGHTS,6,6,12
3,JAN,2014,LOCAL FLIGHTS,5,5,10
4,JAN,2014,LOCAL FLIGHTS,6,6,12
