DAY,MONTH,YEAR,FLIGHT_CATEGORY,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,TOTAL_FLIGHTS
1,JAN,2013,INTERNATIONAL FLIGHTS,4,5,9
2,JAN,2013,INTERNATIONAL FLIGHTS,15,14,29
3,JAN,2013,INTERNATIONAL FLIGHTS,5,7,12
4,JAN,2013,INTERNATIONAL FLIGHTS,5,5,10
5,JAN,2013,INTERNATIONAL FLIGHTS,11,12,23
6,JAN,2013,INTERNATIONAL FLIGHTS,10,10,20
7,JAN,2013,INTERNATIONAL FLIGHTS,5,4,9
8,JAN,2013,INTERNATIONAL FLIGHTS,4,3,7
9,JAN,2013,INTERNATIONAL FLIGHTS,9,10,19
10,JAN,2013,INTERNATIONAL FLIGHTS,7,5,12
11,JAN,2013,INTERNATIONAL FLIGHTS,8,8,16
12,JAN,2013,INTERNATIONAL FLIGHTS,6,6,12
13,JAN,2013,INTERNATIONAL FLIGHTS,9,11,20
14,JAN,2013,INTERNATIONAL FLIGHTS,6,6,12
15,JAN,2013,INTERNATIONAL FLIGHTS,3,3,6
16,JAN,2013,INTERNATIONAL FLIGHTS,8,8,16
17,JAN,2013,INTERNATIONAL FLIGHTS,3,1,4
18,JAN,2013,INTERNATIONAL FLIGHTS,4,7,11
19,JAN,2013,INTERNATIONAL FLIGHTS,7,6,13
20,JAN,2013,INTERNATIONAL FLIGHTS,11,11,22
21,JAN,2013,INTERNATIONAL FLIGHTS,6,5,11
22,JAN,2013,INTERNATIONAL FLIGHTS,4,5,9
23,JAN,2013,INTERNATIONAL FLIGHTS,8,8,16
24,JAN,2013,INTERNATIONAL FLIGHTS,3,4,7
25,JAN,2013,INTERNATIONAL FLIGHTS,8,6,14
26,JAN,2013,INTERNATIONAL FLIGHTS,9,11,20
27,JAN,2013,INTERNATIONAL FLIGHTS,10,10,20
28,JAN,2013,INTERNATIONAL FLIGHTS,5,4,9
29,JAN,2013,INTERNATIONAL FLIGHTS,3,3,6
30,JAN,2013,INTERNATIONAL FLIGHTS,10,10,20
31,JAN,2013,INTERNATIONAL FLIGHTS,2,1,3
1,JAN,2013,LOCAL FLIGHTS,0,0,0
2,JAN,2013,LOCAL FLIGHTS,4,4,8
3,JAN,2013,LOCAL FLIGHTS,5,5,10
4,JAN,2013,LOCAL FLIGHTS,4,4,8
5,JAN,2013,LOCAL FLIGHTS,10,10,20
6,JAN,2013,LOCAL FLIGHTS,1,1,2
7,JAN,2013,LOCAL FLIGHTS,1,1,2
8,JAN,2013,LOCAL FLIGHTS,3,3,6
9,JAN,2013,LOCAL FLIGHTS,3,3,6
10,JAN,2013,LOCAL FLIGHTS,4,4,8
11,JAN,2013,LOCAL FLIGHTS,2,2,4
12,JAN,2013,LOCAL FLIGHTS,3,3,6
13,JAN,2013,LOCAL FLIGHTS,0,0,0
14,JAN,2013,LOCAL FLIGHTS,4,4,8
15,JAN,2013,LOCAL FLIGHTS,3,3,6
16,JAN,2013,LOCAL FLIGHTS,2,3,5
17,JAN,2013,LOCAL FLIGHTS,2,2,4
18,JAN,2013,LOCAL FLIGHTS,1,1,2
19,JAN,2013,LOCAL FLIGHTS,3,3,6
20,JAN,2013,LOCAL FLIGHTS,0,0,0
21,JAN,2013,LOCAL FLIGHTS,7,7,14
22,JAN,2013,LOCAL FLIGHTS,5,5,10
23,JAN,2013,LOCAL FLIGHTS,3,3,6
24,JAN,2013,LOCAL FLIGHTS,7,7,14
25,JAN,2013,LOCAL FLIGHTS,1,1,2
26,JAN,2013,LOCAL FLIGHTS,4,4,8
27,JAN,2013,LOCAL FLIGHTS,0,0,0
28,JAN,2013,LOCAL FLIGHTS,0,0,0
29,JAN,2013,LOCAL FLIGHTS,2,2,4
30,JAN,2013,LOCAL FLIGHTS,3,3,6
31,JAN,2013,LOCAL FLIGHTS,1,1,2
1,JAN,2013,HELICOPTER FLIGHTS,0,0,0
2,JAN,2013,HELICOPTER FLIGHTS,1,1,2
3,JAN,2013,HELICOPTER FLIGHTS,3,3,6
4,JAN,2013,HELICOPTER FLIGHTS,1,1,2
5,JAN,2013,HELICOPTER FLIGHTS,0,0,0
6,JAN,2013,HELICOPTER FLIGHTS,0,0,0
7,JAN,2013,HELICOPTER FLIGHTS,3,3,6
8,JAN,2013,HELICOPTER FLIGHTS,5,5,10
9,JAN,2013,HELICOPTER FLIGHTS,3,3,6
10,JAN,2013,HELICOPTER FLIGHTS,9,9,18
11,JAN,2013,HELICOPTER FLIGHTS,1,1,2
12,JAN,2013,HELICOPTER FLIGHTS,0,0,0
13,JAN,2013,HELICOPTER FLIGHTS,0,0,0
14,JAN,2013,HELICOPTER FLIGHTS,3,3,6
15,JAN,2013,HELICOPTER FLIGHTS,2,2,4
16,JAN,2013,HELICOPTER FLIGHTS,2,2,4
17,JAN,2013,HELICOPTER FLIGHTS,9,9,18
18,JAN,2013,HELICOPTER FLIGHTS,1,1,2
19,JAN,2013,HELICOPTER FLIGHTS,0,0,0
20,JAN,2013,HELICOPTER FLIGHTS,0,0,0
21,JAN,2013,HELICOPTER FLIGHTS,4,4,8
22,JAN,2013,HELICOPTER FLIGHTS,1,1,2
23,JAN,2013,HELICOPTER FLIGHTS,6,6,12
24,JAN,2013,HELICOPTER FLIGHTS,7,7,14
25,JAN,2013,HELICOPTER FLIGHTS,2,2,4
26,JAN,2013,HELICOPTER FLIGHTS,0,0,0
27,JAN,2013,HELICOPTER FLIGHTS,0,0,0
28,JAN,2013,HELICOPTER FLIGHTS,3,3,6
29,JAN,2013,HELICOPTER FLIGHTS,5,5,10
30,JAN,2013,HELICOPTER FLIGHTS,3,3,6
31,JAN,2013,HELICOPTER FLIGHTS,8,8,16
1,FEB,2013,INTERNATIONAL FLIGHTS,4,5,9
2,FEB,2013,INTERNATIONAL FLIGHTS,7,7,14
3,FEB,2013,INTERNATIONAL FLIGHTS,9,10,19
4,FEB,2013,INTERNATIONAL FLIGHTS,5,6,11
5,FEB,2013,INTERNATIONAL FLIGHTS,4,5,9
6,FEB,2013,INTERNATIONAL FLIGHTS,9,8,17
7,FEB,2013,INTERNATIONAL FLIGHTS,3,3,6
8,FEB,2013,INTERNATIONAL FLIGHTS,6,5,11
9,FEB,2013,INTERNATIONAL FLIGHTS,6,6,12
10,FEB,2013,INTERNATIONAL FLIGHTS,9,9,18
11,FEB,2013,INTERNATIONAL FLIGHTS,4,4,8
12,FEB,2013,INTERNATIONAL FLIGHTS,3,4,7
13,FEB,2013,INTERNATIONAL FLIGHTS,8,8,16
14,FEB,2013,INTERNATIONAL FLIGHTS,6,4,10
15,FEB,2013,INTERNATIONAL FLIGHTS,4,5,9
16,FEB,2013,INTERNATIONAL FLIGHTS,10,9,19
17,FEB,2013,INTERNATIONAL FLIGHTS,10,11,21
18,FEB,2013,INTERNATIONAL FLIGHTS,5,5,10
19,FEB,2013,INTERNATIONAL FLIGHTS,2,2,4
20,FEB,2013,INTERNATIONAL FLIGHTS,9,10,19
21,FEB,2013,INTERNATIONAL FLIGHTS,4,5,9
22,FEB,2013,INTERNATIONAL FLIGHTS,5,6,11
23,FEB,2013,INTERNATIONAL FLIGHTS,8,8,16
24,FEB,2013,INTERNATIONAL FLIGHTS,12,12,24
25,FEB,2013,INTERNATIONAL FLIGHTS,5,4,9
26,FEB,2013,INTERNATIONAL FLIGHTS,4,4,8
27,FEB,2013,INTERNATIONAL FLIGHTS,9,9,18
28,FEB,2013,INTERNATIONAL FLIGHTS,3,4,7
1,FEB,2013,LOCAL FLIGHTS,1,1,2
2,FEB,2013,LOCAL FLIGHTS,3,3,6
3,FEB,2013,LOCAL FLIGHTS,0,0,0
4,FEB,2013,LOCAL FLIGHTS,3,3,6
5,FEB,2013,LOCAL FLIGHTS,1,1,2
6,FEB,2013,LOCAL FLIGHTS,1,1,2
7,FEB,2013,LOCAL FLIGHTS,4,4,8
8,FEB,2013,LOCAL FLIGHTS,2,2,4
9,FEB,2013,LOCAL FLIGHTS,5,5,10
10,FEB,2013,LOCAL FLIGHTS,0,0,0
11,FEB,2013,LOCAL FLIGHTS,0,1,1
12,FEB,2013,LOCAL FLIGHTS,2,2,4
13,FEB,2013,LOCAL FLIGHTS,5,5,10
14,FEB,2013,LOCAL FLIGHTS,5,5,10
15,FEB,2013,LOCAL FLIGHTS,0,0,0
16,FEB,2013,LOCAL FLIGHTS,1,1,2
17,FEB,2013,LOCAL FLIGHTS,0,0,0
18,FEB,2013,LOCAL FLIGHTS,5,5,10
19,FEB,2013,LOCAL FLIGHTS,2,2,4
20,FEB,2013,LOCAL FLIGHTS,2,2,4
