DAY,MONTH,YEAR,FLIGHT_CATEGORY,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,TOTAL_FLIGHTS
1,JAN,2013,INTERNATIONAL FLIGHTS,20,21,41
2,JAN,2013,INTERNATIONAL FLIGHTS,43,43,86
3,JAN,2013,INTERNATIONAL FLIGHTS,33,33,66
4,JAN,2013,INTERNATIONAL FLIGHTS,42,44,86
5,JAN,2013,INTERNATIONAL FLIGHTS,44,44,88
6,JAN,2013,INTERNATIONAL FLIGHTS,42,41,83
7,JAN,2013,INTERNATIONAL FLIGHTS,37,39,76
8,JAN,2013,INTERNATIONAL FLIGHTS,31,31,62
9,JAN,2013,INTERNATIONAL FLIGHTS,41,43,84
10,JAN,2013,INTERNATIONAL FLIGHTS,29,33,62
11,JAN,2013,INTERNATIONAL FLIGHTS,40,38,78
12,JAN,2013,INTERNATIONAL FLIGHTS,46,42,88
13,JAN,2013,INTERNATIONAL FLIGHTS,39,42,81
14,JAN,2013,INTERNATIONAL FLIGHTS,37,37,74
15,JAN,2013,INTERNATIONAL FLIGHTS,25,26,51
16,JAN,2013,INTERNATIONAL FLIGHTS,41,42,83
17,JAN,2013,INTERNATIONAL FLIGHTS,22,28,50
18,JAN,2013,INTERNATIONAL FLIGHTS,37,39,76
19,JAN,2013,INTERNATIONAL FLIGHTS,34,36,70
20,JAN,2013,INTERNATIONAL FLIGHTS,34,32,66
21,JAN,2013,INTERNATIONAL FLIGHTS,40,39,79
22,JAN,2013,INTERNATIONAL FLIGHTS,26,24,50
23,JAN,2013,INTERNATIONAL FLIGHTS,45,43,88
24,JAN,2013,INTERNATIONAL FLIGHTS,30,31,61
25,JAN,2013,INTERNATIONAL FLIGHTS,36,36,72
26,JAN,2013,INTERNATIONAL FLIGHTS,37,38,75
27,JAN,2013,INTERNATIONAL FLIGHTS,33,35,68
28,JAN,2013,INTERNATIONAL FLIGHTS,37,36,73
29,JAN,2013,INTERNATIONAL FLIGHTS,27,21,48
30,JAN,2013,INTERNATIONAL FLIGHTS,37,39,76
31,JAN,2013,INTERNATIONAL FLIGHTS,29,30,59
1,JAN,2013,LOCAL FLIGHTS,0,0,0
2,JAN,2013,LOCAL FLIGHTS,2,2,4
3,JAN,2013,LOCAL FLIGHTS,8,8,16
4,JAN,2013,LOCAL FLIGHTS,0,1,1
5,JAN,2013,LOCAL FLIGHTS,8,9,17
6,JAN,2013,LOCAL FLIGHTS,2,2,4
7,JAN,2013,LOCAL FLIGHTS,1,1,2
8,JAN,2013,LOCAL FLIGHTS,0,0,0
9,JAN,2013,LOCAL FLIGHTS,2,2,4
10,JAN,2013,LOCAL FLIGHTS,4,6,10
11,JAN,2013,LOCAL FLIGHTS,11,11,22
12,JAN,2013,LOCAL FLIGHTS,4,4,8
13,JAN,2013,LOCAL FLIGHTS,1,1,2
14,JAN,2013,LOCAL FLIGHTS,5,5,10
15,JAN,2013,LOCAL FLIGHTS,6,6,12
16,JAN,2013,LOCAL FLIGHTS,7,7,14
17,JAN,2013,LOCAL FLIGHTS,11,12,23
18,JAN,2013,LOCAL FLIGHTS,4,4,8
19,JAN,2013,LOCAL FLIGHTS,10,9,19
20,JAN,2013,LOCAL FLIGHTS,1,1,2
21,JAN,2013,LOCAL FLIGHTS,6,5,11
22,JAN,2013,LOCAL FLIGHTS,8,8,16
23,JAN,2013,LOCAL FLIGHTS,6,6,12
24,JAN,2013,LOCAL FLIGHTS,3,3,6
25,JAN,2013,LOCAL FLIGHTS,7,7,14
26,JAN,2013,LOCAL FLIGHTS,10,10,20
27,JAN,2013,LOCAL FLIGHTS,3,3,6
28,JAN,2013,LOCAL FLIGHTS,0,0,0
29,JAN,2013,LOCAL FLIGHTS,8,7,15
30,JAN,2013,LOCAL FLIGHTS,0,0,0
31,JAN,2013,LOCAL FLIGHTS,2,2,4
1,JAN,2013,HELICOPTER FLIGHTS,0,0,0
2,JAN,2013,HELICOPTER FLIGHTS,2,2,4
3,JAN,2013,HELICOPTER FLIGHTS,3,3,6
4,JAN,2013,HELICOPTER FLIGHTS,1,1,2
5,JAN,2013,HELICOPTER FLIGHTS,3,3,6
6,JAN,2013,HELICOPTER FLIGHTS,2,2,4
7,JAN,2013,HELICOPTER FLIGHTS,3,3,6
8,JAN,2013,HELICOPTER FLIGHTS,2,2,4
9,JAN,2013,HELICOPTER FLIGHTS,2,2,4
10,JAN,2013,HELICOPTER FLIGHTS,5,4,9
11,JAN,2013,HELICOPTER FLIGHTS,3,3,6
12,JAN,2013,HELICOPTER FLIGHTS,2,2,4
13,JAN,2013,HELICOPTER FLIGHTS,0,0,0
14,JAN,2013,HELICOPTER FLIGHTS,2,2,4
15,JAN,2013,HELICOPTER FLIGHTS,2,2,4
16,JAN,2013,HELICOPTER FLIGHTS,2,2,4
17,JAN,2013,HELICOPTER FLIGHTS,3,3,6
