DAY,MONTH,YEAR,FLIGHT_CATEGORY,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,TOTAL_FLIGHTS
1,JAN,2015,INTERNATIONAL FLIGHTS,26,29,55
2,JAN,2015,INTERNATIONAL FLIGHTS,40,39,79
3,JAN,2015,INTERNATIONAL FLIGHTS,47,49,96
4,JAN,2015,INTERNATIONAL FLIGHTS,48,52,100
5,JAN,2015,INTERNATIONAL FLIGHTS,35,38,73
6,JAN,2015,INTERNATIONAL FLIGHTS,39,39,78
7,JAN,2015,INTERNATIONAL FLIGHTS,42,40,82
8,JAN,2015,INTERNATIONAL FLIGHTS,33,33,66
9,JAN,2015,INTERNATIONAL FLIGHTS,35,34,69
10,JAN,2015,INTERNATIONAL FLIGHTS,44,39,83
11,JAN,2015,INTERNATIONAL FLIGHTS,38,40,78
12,JAN,2015,INTERNATIONAL FLIGHTS,30,33,63
13,JAN,2015,INTERNATIONAL FLIGHTS,28,25,53
14,JAN,2015,INTERNATIONAL FLIGHTS,33,32,65
15,JAN,2015,INTERNATIONAL FLIGHTS,25,25,50
16,JAN,2015,INTERNATIONAL FLIGHTS,31,30,61
17,JAN,2015,INTERNATIONAL FLIGHTS,37,38,75
18,JAN,2015,INTERNATIONAL FLIGHTS,39,34,73
19,JAN,2015,INTERNATIONAL FLIGHTS,31,31,62
20,JAN,2015,INTERNATIONAL FLIGHTS,34,37,71
21,JAN,2015,INTERNATIONAL FLIGHTS,32,36,68
22,JAN,2015,INTERNATIONAL FLIGHTS,30,27,57
23,JAN,2015,INTERNATIONAL FLIGHTS,33,36,69
24,JAN,2015,INTERNATIONAL FLIGHTS,34,37,71
25,JAN,2015,INTERNATIONAL FLIGHTS,37,36,73
26,JAN,2015,INTERNATIONAL FLIGHTS,39,38,77
27,JAN,2015,INTERNATIONAL FLIGHTS,42,41,83
28,JAN,2015,INTERNATIONAL FLIGHTS,32,37,69
29,JAN,2015,INTERNATIONAL FLIGHTS,31,32,63
30,JAN,2015,INTERNATIONAL FLIGHTS,27,28,55
31,JAN,2015,INTERNATIONAL FLIGHTS,36,32,68
1,JAN,2015,LOCAL FLIGHTS,0,0,0
2,JAN,2015,LOCAL FLIGHTS,1,1,2
3,JAN,2015,LOCAL FLIGHTS,5,5,10
4,JAN,2015,LOCAL FLIGHTS,8,8,16
5,JAN,2015,LOCAL FLIGHTS,0,0,0
6,JAN,2015,LOCAL FLIGHTS,0,0,0
7,JAN,2015,LOCAL FLIGHTS,4,4,8
8,JAN,2015,LOCAL FLIGHTS,2,2,4
9,JAN,2015,LOCAL FLIGHTS,3,3,6
10,JAN,2015,LOCAL FLIGHTS,6,6,12
11,JAN,2015,LOCAL FLIGHTS,11,11,22
12,JAN,2015,LOCAL FLIGHTS,8,10,18
13,JAN,2015,LOCAL FLIGHTS,0,0,0
14,JAN,2015,LOCAL FLIGHTS,0,0,0
15,JAN,2015,LOCAL FLIGHTS,7,7,14
16,JAN,2015,LOCAL FLIGHTS,9,9,18
17,JAN,2015,LOCAL FLIGHTS,8,8,16
18,JAN,2015,LOCAL FLIGHTS,5,5,10
19,JAN,2015,LOCAL FLIGHTS,7,7,14
20,JAN,2015,LOCAL FLIGHTS,3,3,6
21,JAN,2015,LOCAL FLIGHTS,13,13,26
22,JAN,2015,LOCAL FLIGHTS,4,4,8
23,JAN,2015,LOCAL FLIGHTS,9,9,18
24,JAN,2015,LOCAL FLIGHTS,15,15,30
25,JAN,2015,LOCAL FLIGHTS,5,5,10
26,JAN,2015,LOCAL FLIGHTS,0,0,0
27,JAN,2015,LOCAL FLIGHTS,7,7,14
28,JAN,2015,LOCAL FLIGHTS,6,6,12
29,JAN,2015,LOCAL FLIGHTS,5,5,10
30,JAN,2015,LOCAL FLIGHTS,1,1,2
31,JAN,2015,LOCAL FLIGHTS,5,5,10
1,JAN,2015,HELICOPTER FLIGHTS,0,0,0
2,JAN,2015,HELICOPTER FLIGHTS,0,0,0
3,JAN,2015,HELICOPTER FLIGHTS,2,2,4
4,JAN,2015,HELICOPTER FLIGHTS,0,0,0
5,JAN,2015,HELICOPTER FLIGHTS,0,0,0
6,JAN,2015,HELICOPTER FLIGHTS,1,1,2
7,JAN,2015,HELICOPTER FLIGHTS,2,2,4
8,JAN,2015,HELICOPTER FLIGHTS,0,0,0
9,JAN,2015,HELICOPTER FLIGHTS,2,2,4
10,JAN,2015,HELICOPTER FLIGHTS,0,0,0
11,JAN,2015,HELICOPTER FLIGHTS,0,0,0
12,JAN,2015,HELICOPTER FLIGHTS,1,1,2
13,JAN,2015,HELICOPTER FLIGHTS,2,2,4
14,JAN,2015,HELICOPTER FLIGHTS,2,2,4
15,JAN,2015,HELICOPTER FLIGHTS,0,0,0
16,JAN,2015,HELICOPTER FLIGHTS,2,1,3
17,JAN,2015,HELICOPTER FLIGHTS,1,1,2
18,JAN,2015,HELICOPTER FLIGHTS,0,0,0
19,JAN,2015,HELICOPTER FLIGHTS,0,0,0
20,JAN,2015,HELICOPTER FLIGHTS,2,2,4
21,JAN,2015,HELICOPTER FLIGHTS,0,0,0
22,JAN,2015,HELICOPTER FLIGHTS,1,1,2
23,JAN,2015,HELICOPTER FLIGHTS,2,2,4
24,JAN,2015,HELICOPTER FLIGHTS,2,2,4
25,JAN,2015,HELICOPTER FLIGHTS,0,0,0
26,JAN,2015,HELICOPTER FLIGHTS,0,0,0
27,JAN,2015,HELICOPTER FLIGHTS,2,2,4
28,JAN,2015,HELICOPTER FLIGHTS,0,0,0
29,JAN,2015,HELICOPTER FLIGHTS,1,1,2
