DAY,MONTH,YEAR,FLIGHT_CATEGORY,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,TOTAL_FLIGHTS
1,JAN,2014,INTERNATIONAL FLIGHTS,13,11,24
2,JAN,2014,INTERNATIONAL FLIGHTS,9,11,20
3,JAN,2014,INTERNATIONAL FLIGHTS,6,5,11
4,JAN,2014,INTERNATIONAL FLIGHTS,13,13,26
5,JAN,2014,INTERNATIONAL FLIGHTS,12,13,25
6,JAN,2014,INTERNATIONAL FLIGHTS,8,5,13
7,JAN,2014,INTERNATIONAL FLIGHTS,9,9,18
8,JAN,2014,INTERNATIONAL FLIGHTS,10,12,22
9,JAN,2014,INTERNATIONAL FLIGHTS,10,9,19
10,JAN,2014,INTERNATIONAL FLIGHTS,6,8,14
11,JAN,2014,INTERNATIONAL FLIGHTS,12,10,22
12,JAN,2014,INTERNATIONAL FLIGHTS,13,16,29
13,JAN,2014,INTERNATIONAL FLIGHTS,7,4,11
14,JAN,2014,INTERNATIONAL FLIGHTS,5,6,11
15,JAN,2014,INTERNATIONAL FLIGHTS,11,11,22
16,JAN,2014,INTERNATIONAL FLIGHTS,3,3,6
17,JAN,2014,INTERNATIONAL FLIGHTS,6,6,12
18,JAN,2014,INTERNATIONAL FLIGHTS,9,11,20
19,JAN,2014,INTERNATIONAL FLIGHTS,13,12,25
20,JAN,2014,INTERNATIONAL FLIGHTS,7,6,13
21,JAN,2014,INTERNATIONAL FLIGHTS,8,8,16
22,JAN,2014,INTERNATIONAL FLIGHTS,10,11,21
23,JAN,2014,INTERNATIONAL FLIGHTS,3,5,8
24,JAN,2014,INTERNATIONAL FLIGHTS,10,8,18
25,JAN,2014,INTERNATIONAL FLIGHTS,10,11,21
26,JAN,2014,INTERNATIONAL FLIGHTS,15,15,30
27,JAN,2014,INTERNATIONAL FLIGHTS,6,5,11
28,JAN,2014,INTERNATIONAL FLIGHTS,9,6,15
29,JAN,2014,INTERNATIONAL FLIGHTS,12,14,26
30,JAN,2014,INTERNATIONAL FLIGHTS,6,5,11
31,JAN,2014,INTERNATIONAL FLIGHTS,7,9,16
1,JAN,2014,LOCAL FLIGHTS,0,0,0
2,JAN,2014,LOCAL FLIGHTS,3,3,6
3,JAN,2014,LOCAL FLIGHTS,2,2,4
4,JAN,2014,LOCAL FLIGHTS,7,7,14
5,JAN,2014,LOCAL FLIGHTS,0,0,0
6,JAN,2014,LOCAL FLIGHTS,2,2,4
7,JAN,2014,LOCAL FLIGHTS,6,6,12
8,JAN,2014,LOCAL FLIGHTS,3,3,6
9,JAN,2014,LOCAL FLIGHTS,3,3,6
10,JAN,2014,LOCAL FLIGHTS,2,2,4
11,JAN,2014,LOCAL FLIGHTS,5,5,10
12,JAN,2014,LOCAL FLIGHTS,0,0,0
13,JAN,2014,LOCAL FLIGHTS,6,6,12
14,JAN,2014,LOCAL FLIGHTS,1,1,2
15,JAN,2014,LOCAL FLIGHTS,2,3,5
16,JAN,2014,LOCAL FLIGHTS,2,2,4
17,JAN,2014,LOCAL FLIGHTS,1,1,2
18,JAN,2014,LOCAL FLIGHTS,2,2,4
19,JAN,2014,LOCAL FLIGHTS,2,2,4
20,JAN,2014,LOCAL FLIGHTS,2,1,3
21,JAN,2014,LOCAL FLIGHTS,4,4,8
