date,airport,station_code,total_flights
2012-06-26,Pafos,15,85.0
2012-06-27,Pafos,15,126.0
2012-06-28,Pafos,15,59.0
2012-06-29,Pafos,15,46.0
2012-06-30,Pafos,15,73.0
2012-07-01,Pafos,15,92.0
2012-07-02,Pafos,15,58.0
2012-07-03,Pafos,15,98.0
2012-07-04,Pafos,15,113.0
2012-07-05,Pafos,15,47.0
2012-07-06,Pafos,15,52.0
2012-07-07,Pafos,15,83.0
2012-07-08,Pafos,15,86.0
2012-07-09,Pafos,15,70.0
2012-07-10,Pafos,15,63.0
2012-07-11,Pafos,15,112.0
2012-07-12,Pafos,15,64.0
2012-07-13,Pafos,15,65.0
2012-07-14,Pafos,15,65.0
2012-07-15,Pafos,15,96.0
2012-07-16,Pafos,15,57.0
2012-07-17,Pafos,15,59.0
2012-07-18,Pafos,15,113.0
2012-07-19,Pafos,15,59.0
2012-07-20,Pafos,15,40.0
2012-07-21,Pafos,15,74.0
2012-07-22,Pafos,15,91.0
2012-07-23,Pafos,15,63.0
2012-07-24,Pafos,15,62.0
2012-07-25,Pafos,15,112.0
2012-07-26,Pafos,15,43.0
2012-07-27,Pafos,15,49.0
2012-07-28,Pafos,15,72.0
2012-07-29,Pafos,15,88.0
2012-07-30,Pafos,15,59.0
2012-07-31,Pafos,15,58.0
2012-08-01,Pafos,15,106.0
2012-08-02,Pafos,15,86.0
2012-08-03,Pafos,15,53.0
2012-08-04,Pafos,15,80.0
2012-08-05,Pafos,15,88.0
2012-08-06,Pafos,15,55.0
2012-08-07,Pafos,15,91.0
2012-08-08,Pafos,15,118.0
2012-08-09,Pafos,15,55.0
2012-08-10,Pafos,15,62.0
2012-08-11,Pafos,15,80.0
2012-08-12,Pafos,15,94.0
2012-08-13,Pafos,15,88.0
2012-08-14,Pafos,15,65.0
2012-08-15,Pafos,15,96.0
2012-08-16,Pafos,15,52.0
2012-08-17,Pafos,15,56.0
2012-08-18,Pafos,15,84.0
2012-08-19,Pafos,15,84.0
2012-08-20,Pafos,15,55.0
2012-08-21,Pafos,15,72.0
2012-08-22,Pafos,15,110.0
2012-08-23,Pafos,15,51.0
2012-08-24,Pafos,15,53.0
2012-08-25,Pafos,15,74.0
2012-08-26,Pafos,15,91.0
2012-08-27,Pafos,15,70.0
2012-08-28,Pafos,15,57.0
2012-08-29,Pafos,15,118.0
2012-08-30,Pafos,15,51.0
2012-08-31,Pafos,15,52.0
2012-09-01,Pafos,15,72.0
2012-09-02,Pafos,15,107.0
2012-09-03,Pafos,15,70.0
2012-09-04,Pafos,15,64.0
2012-09-05,Pafos,15,114.0
2012-09-06,Pafos,15,53.0
2012-09-07,Pafos,15,66.0
2012-09-08,Pafos,15,92.0
2012-09-09,Pafos,15,94.0
2012-09-10,Pafos,15,74.0
2012-09-11,Pafos,15,73.0
2012-09-12,Pafos,15,116.0
2012-09-13,Pafos,15,55.0
2012-09-14,Pafos,15,57.0
2012-09-15,Pafos,15,76.0
2012-09-16,Pafos,15,90.0
2012-09-17,Pafos,15,60.0
2012-09-18,Pafos,15,77.0
2012-09-19,Pafos,15,106.0
2012-09-20,Pafos,15,55.0
2012-09-21,Pafos,15,44.0
2012-09-22,Pafos,15,75.0
2012-09-23,Pafos,15,90.0
2012-09-24,Pafos,15,60.0
2012-09-25,Pafos,15,64.0
2012-09-26,Pafos,15,115.0
2012-09-27,Pafos,15,49.0
2012-09-28,Pafos,15,53.0
2012-09-29,Pafos,15,89.0
2012-09-30,Pafos,15,89.0
2012-10-01,Pafos,15,53.0
2012-10-02,Pafos,15,56.0
2012-10-03,Pafos,15,115.0
2012-10-04,Pafos,15,54.0
2012-10-05,Pafos,15,64.0
2012-10-06,Pafos,15,71.0
2012-10-07,Pafos,15,93.0
2012-10-08,Pafos,15,64.0
2012-10-09,Pafos,15,71.0
2012-10-10,Pafos,15,116.0
2012-10-11,Pafos,15,59.0
2012-10-12,Pafos,15,58.0
2012-10-13,Pafos,15,80.0
2012-10-14,Pafos,15,94.0
2012-10-15,Pafos,15,69.0
2012-10-16,Pafos,15,65.0
2012-10-17,Pafos,15,105.0
2012-10-18,Pafos,15,67.0
2012-10-19,Pafos,15,62.0
2012-10-20,Pafos,15,78.0
2012-10-21,Pafos,15,88.0
2012-10-22,Pafos,15,63.0
2012-10-23,Pafos,15,62.0
2012-10-24,Pafos,15,108.0
2012-10-25,Pafos,15,50.0
2012-10-26,Pafos,15,46.0
2012-10-27,Pafos,15,64.0
2012-10-28,Pafos,15,84.0
2012-10-29,Pafos,15,57.0
2012-10-30,Pafos,15,49.0
2012-10-31,Pafos,15,92.0
2012-11-01,Pafos,15,41.0
2012-11-02,Pafos,15,29.0
2012-11-03,Pafos,15,76.0
2012-11-04,Pafos,15,75.0
2012-11-05,Pafos,15,52.0
2012-11-06,Pafos,15,47.0
2012-11-07,Pafos,15,61.0
2012-11-08,Pafos,15,23.0
2012-11-09,Pafos,15,19.0
2012-11-10,Pafos,15,32.0
2012-11-11,Pafos,15,36.0
2012-11-12,Pafos,15,24.0
2012-11-13,Pafos,15,23.0
2012-11-14,Pafos,15,70.0
2012-11-15,Pafos,15,27.0
2012-11-16,Pafos,15,15.0
2012-11-17,Pafos,15,42.0
2012-11-18,Pafos,15,31.0
2012-11-19,Pafos,15,28.0
2012-11-20,Pafos,15,33.0
2012-11-21,Pafos,15,61.0
2012-11-22,Pafos,15,23.0
2012-11-23,Pafos,15,26.0
2012-11-24,Pafos,15,30.0
2012-11-25,Pafos,15,34.0
2012-11-26,Pafos,15,33.0
2012-11-27,Pafos,15,34.0
2012-11-28,Pafos,15,58.0
2012-11-29,Pafos,15,26.0
2012-11-30,Pafos,15,24.0
2012-12-01,Pafos,15,34.0
2012-12-02,Pafos,15,39.0
2012-12-03,Pafos,15,14.0
2012-12-04,Pafos,15,14.0
2012-12-05,Pafos,15,59.0
2012-12-06,Pafos,15,47.0
2012-12-07,Pafos,15,18.0
2012-12-08,Pafos,15,32.0
2012-12-09,Pafos,15,23.0
2012-12-10,Pafos,15,15.0
2012-12-11,Pafos,15,23.0
2012-12-12,Pafos,15,41.0
2012-12-13,Pafos,15,33.0
2012-12-14,Pafos,15,27.0
2012-12-15,Pafos,15,45.0
2012-12-16,Pafos,15,23.0
2012-12-17,Pafos,15,21.0
2012-12-18,Pafos,15,18.0
2012-12-19,Pafos,15,46.0
2012-12-20,Pafos,15,12.0
2012-12-21,Pafos,15,15.0
2012-12-22,Pafos,15,29.0
2012-12-23,Pafos,15,20.0
2012-12-24,Pafos,15,11.0
2012-12-25,Pafos,15,4.0
2012-12-26,Pafos,15,25.0
2012-12-27,Pafos,15,23.0
2012-12-28,Pafos,15,20.0
2012-12-29,Pafos,15,40.0
2012-12-30,Pafos,15,28.0
2012-12-31,Pafos,15,9.0
2013-01-01,Pafos,15,9.0
2013-01-02,Pafos,15,39.0
2013-01-03,Pafos,15,28.0
2013-01-04,Pafos,15,20.0
2013-01-05,Pafos,15,43.0
2013-01-06,Pafos,15,22.0
2013-01-07,Pafos,15,17.0
2013-01-08,Pafos,15,23.0
2013-01-09,Pafos,15,31.0
2013-01-10,Pafos,15,38.0
2013-01-11,Pafos,15,22.0
2013-01-12,Pafos,15,18.0
2013-01-13,Pafos,15,20.0
2013-01-14,Pafos,15,26.0
2013-01-15,Pafos,15,16.0
2013-01-16,Pafos,15,25.0
2013-01-17,Pafos,15,26.0
2013-01-18,Pafos,15,15.0
2013-01-19,Pafos,15,19.0
2013-01-20,Pafos,15,22.0
2013-01-21,Pafos,15,33.0
2013-01-22,Pafos,15,21.0
2013-01-23,Pafos,15,34.0
2013-01-24,Pafos,15,35.0
2013-01-25,Pafos,15,20.0
2013-01-26,Pafos,15,28.0
2013-01-27,Pafos,15,20.0
2013-01-28,Pafos,15,15.0
2013-01-29,Pafos,15,20.0
2013-01-30,Pafos,15,32.0
2013-01-31,Pafos,15,21.0
2013-02-01,Pafos,15,13.0
2013-02-02,Pafos,15,20.0
2013-02-03,Pafos,15,19.0
2013-02-04,Pafos,15,25.0
2013-02-05,Pafos,15,25.0
2013-02-06,Pafos,15,19.0
2013-02-07,Pafos,15,29.0
2013-02-08,Pafos,15,17.0
2013-02-09,Pafos,15,22.0
2013-02-10,Pafos,15,18.0
2013-02-11,Pafos,15,15.0
2013-02-12,Pafos,15,17.0
2013-02-13,Pafos,15,32.0
2013-02-14,Pafos,15,38.0
2013-02-15,Pafos,15,11.0
2013-02-16,Pafos,15,21.0
2013-02-17,Pafos,15,21.0
2013-02-18,Pafos,15,26.0
2013-02-19,Pafos,15,18.0
2013-02-20,Pafos,15,31.0
2013-02-21,Pafos,15,33.0
2013-02-22,Pafos,15,13.0
2013-02-23,Pafos,15,16.0
2013-02-24,Pafos,15,26.0
2013-02-25,Pafos,15,21.0
2013-02-26,Pafos,15,28.0
2013-02-27,Pafos,15,28.0
2013-02-28,Pafos,15,25.0
2013-03-01,Pafos,15,24.0
2013-03-02,Pafos,15,33.0
2013-03-03,Pafos,15,22.0
2013-03-04,Pafos,15,28.0
2013-03-05,Pafos,15,27.0
2013-03-06,Pafos,15,64.0
2013-03-07,Pafos,15,31.0
2013-03-08,Pafos,15,26.0
2013-03-09,Pafos,15,27.0
2013-03-10,Pafos,15,28.0
2013-03-11,Pafos,15,29.0
2013-03-12,Pafos,15,28.0
2013-03-13,Pafos,15,60.0
2013-03-14,Pafos,15,40.0
