DAY,MONTH,YEAR,FLIGHT_CATEGORY,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,TOTAL_FLIGHTS
1,JAN,2017,INTERNATIONAL FLIGHTS,11,11,22
2,JAN,2017,INTERNATIONAL FLIGHTS,6,6,12
3,JAN,2017,INTERNATIONAL FLIGHTS,10,10,20
4,JAN,2017,INTERNATIONAL FLIGHTS,19,18,37
5,JAN,2017,INTERNATIONAL FLIGHTS,11,11,22
6,JAN,2017,INTERNATIONAL FLIGHTS,9,8,17
7,JAN,2017,INTERNATIONAL FLIGHTS,11,13,24
8,JAN,2017,INTERNATIONAL FLIGHTS,14,14,28
9,JAN,2017,INTERNATIONAL FLIGHTS,7,6,13
10,JAN,2017,INTERNATIONAL FLIGHTS,4,6,10
11,JAN,2017,INTERNATIONAL FLIGHTS,18,15,33
12,JAN,2017,INTERNATIONAL FLIGHTS,7,7,14
13,JAN,2017,INTERNATIONAL FLIGHTS,10,9,19
14,JAN,2017,INTERNATIONAL FLIGHTS,10,12,22
15,JAN,2017,INTERNATIONAL FLIGHTS,9,11,20
16,JAN,2017,INTERNATIONAL FLIGHTS,8,7,15
17,JAN,2017,INTERNATIONAL FLIGHTS,6,4,10
18,JAN,2017,INTERNATIONAL FLIGHTS,12,14,26
19,JAN,2017,INTERNATIONAL FLIGHTS,8,5,13
20,JAN,2017,INTERNATIONAL FLIGHTS,13,12,25
21,JAN,2017,INTERNATIONAL FLIGHTS,12,15,27
22,JAN,2017,INTERNATIONAL FLIGHTS,16,12,28
23,JAN,2017,INTERNATIONAL FLIGHTS,6,9,15
24,JAN,2017,INTERNATIONAL FLIGHTS,5,4,9
25,JAN,2017,INTERNATIONAL FLIGHTS,11,10,21
26,JAN,2017,INTERNATIONAL FLIGHTS,7,8,15
27,JAN,2017,INTERNATIONAL FLIGHTS,5,6,11
28,JAN,2017,INTERNATIONAL FLIGHTS,14,12,26
29,JAN,2017,INTERNATIONAL FLIGHTS,15,15,30
30,JAN,2017,INTERNATIONAL FLIGHTS,8,7,15
31,JAN,2017,INTERNATIONAL FLIGHTS,5,4,9
1,JAN,2017,LOCAL FLIGHTS,0,0,0
2,JAN,2017,LOCAL FLIGHTS,2,2,4
3,JAN,2017,LOCAL FLIGHTS,1,1,2
4,JAN,2017,LOCAL FLIGHTS,3,3,6
5,JAN,2017,LOCAL FLIGHTS,1,1,2
6,JAN,2017,LOCAL FLIGHTS,0,1,1
7,JAN,2017,LOCAL FLIGHTS,4,4,8
8,JAN,2017,LOCAL FLIGHTS,0,0,0
9,JAN,2017,LOCAL FLIGHTS,1,1,2
10,JAN,2017,LOCAL FLIGHTS,0,0,0
11,JAN,2017,LOCAL FLIGHTS,6,6,12
12,JAN,2017,LOCAL FLIGHTS,5,5,10
13,JAN,2017,LOCAL FLIGHTS,2,2,4
14,JAN,2017,LOCAL FLIGHTS,3,3,6
15,JAN,2017,LOCAL FLIGHTS,0,0,0
16,JAN,2017,LOCAL FLIGHTS,2,2,4
17,JAN,2017,LOCAL FLIGHTS,4,4,8
18,JAN,2017,LOCAL FLIGHTS,1,2,3
19,JAN,2017,LOCAL FLIGHTS,4,5,9
20,JAN,2017,LOCAL FLIGHTS,3,3,6
21,JAN,2017,LOCAL FLIGHTS,3,3,6
22,JAN,2017,LOCAL FLIGHTS,0,0,0
23,JAN,2017,LOCAL FLIGHTS,1,1,2
24,JAN,2017,LOCAL FLIGHTS,1,1,2
25,JAN,2017,LOCAL FLIGHTS,3,3,6
26,JAN,2017,LOCAL FLIGHTS,2,1,3
27,JAN,2017,LOCAL FLIGHTS,1,1,2
28,JAN,2017,LOCAL FLIGHTS,1,1,2
29,JAN,2017,LOCAL FLIGHTS,1,1,2
30,JAN,2017,LOCAL FLIGHTS,0,0,0
31,JAN,2017,LOCAL FLIGHTS,0,0,0
1,JAN,2017,HELICOPTER FLIGHTS,0,0,0
2,JAN,2017,HELICOPTER FLIGHTS,0,0,0
3,JAN,2017,HELICOPTER FLIGHTS,4,4,8
4,JAN,2017,HELICOPTER FLIGHTS,4,4,8
5,JAN,2017,HELICOPTER FLIGHTS,2,2,4
6,JAN,2017,HELICOPTER FLIGHTS,0,0,0
7,JAN,2017,HELICOPTER FLIGHTS,0,0,0
8,JAN,2017,HELICOPTER FLIGHTS,0,0,0
9,JAN,2017,HELICOPTER FLIGHTS,6,6,12
10,JAN,2017,HELICOPTER FLIGHTS,2,2,4
11,JAN,2017,HELICOPTER FLIGHTS,8,8,16
12,JAN,2017,HELICOPTER FLIGHTS,17,17,34
13,JAN,2017,HELICOPTER FLIGHTS,1,1,2
14,JAN,2017,HELICOPTER FLIGHTS,0,0,0
15,JAN,2017,HELICOPTER FLIGHTS,0,0,0
16,JAN,2017,HELICOPTER FLIGHTS,6,6,12
17,JAN,2017,HELICOPTER FLIGHTS,4,4,8
18,JAN,2017,HELICOPTER FLIGHTS,8,8,16
19,JAN,2017,HELICOPTER FLIGHTS,10,10,20
20,JAN,2017,HELICOPTER FLIGHTS,3,3,6
